豆瓣ID,电影名称,轮次,轮内尝试序号,尝试层级,失败原因,失败时间
2156806,白色巨塔,1,1,电影请求,HTTP 400,2026-07-22T03:48:00+08:00
3312135,伊菲吉妮娅,1,1,电影请求,HTTP 400,2026-07-22T04:18:07+08:00
1298487,寅次郎的故事1,1,1,电影请求,HTTP 400,2026-07-22T04:39:55+08:00
1298487,寅次郎的故事1,1,2,电影请求,HTTP 400,2026-07-22T04:57:16+08:00
35416174,狂野时代,1,1,电影请求,HTTP 400,2026-07-22T05:28:07+08:00
27102569,悲伤逆流成河,1,1,电影请求,HTTP 400,2026-07-22T05:57:23+08:00
27047871,记忆之夜,1,1,电影请求,HTTP 400,2026-07-22T06:40:42+08:00
27047871,记忆之夜,1,2,电影请求,HTTP 400,2026-07-22T06:58:14+08:00
24529254,莫比乌斯,1,1,电影请求,HTTP 400,2026-07-22T07:41:06+08:00
24529254,莫比乌斯,1,2,电影请求,HTTP 400,2026-07-22T07:55:37+08:00
1292337,无人知晓,1,1,电影请求,HTTP 400,2026-07-22T08:24:33+08:00
1292337,无人知晓,1,2,电影请求,HTTP 400,2026-07-22T08:36:16+08:00
6791750,起风了,1,1,电影请求,HTTP 400,2026-07-22T08:49:10+08:00
1432699,琳达！琳达！琳达！,1,1,电影请求,HTTP 400,2026-07-22T09:36:49+08:00
1432699,琳达！琳达！琳达！,1,2,电影请求,HTTP 400,2026-07-22T09:49:33+08:00
25821634,雷神3：诸神黄昏,1,1,电影请求,HTTP 400,2026-07-22T10:32:49+08:00
25821634,雷神3：诸神黄昏,1,2,电影请求,HTTP 400,2026-07-22T10:49:01+08:00
24695277,一个人的武林,1,1,电影请求,HTTP 400,2026-07-22T11:32:47+08:00
24695277,一个人的武林,1,2,电影请求,HTTP 400,2026-07-22T11:48:38+08:00
26614893,完美陌生人,1,1,电影请求,HTTP 400,2026-07-22T12:34:22+08:00
26614893,完美陌生人,1,2,电影请求,HTTP 400,2026-07-22T12:46:33+08:00
1291577,超人总动员,1,1,电影请求,HTTP 400,2026-07-22T12:57:23+08:00
24751754,前任攻略,1,1,电影请求,HTTP 400,2026-07-22T13:47:14+08:00
24751754,前任攻略,1,2,电影请求,HTTP 400,2026-07-22T13:59:29+08:00
1305724,X战警2,1,1,电影请求,HTTP 400,2026-07-22T14:49:35+08:00
25884801,记忆大师,1,1,电影请求,HTTP 400,2026-07-22T15:37:46+08:00
25884801,记忆大师,1,2,电影请求,HTTP 400,2026-07-22T15:49:33+08:00
1294621,神秘拼图,1,1,电影请求,HTTP 400,2026-07-22T16:32:21+08:00
1294621,神秘拼图,1,2,电影请求,HTTP 400,2026-07-22T16:45:13+08:00
3075983,电锯惊魂6,1,1,电影请求,HTTP 400,2026-07-22T16:58:27+08:00
2295401,詹妮弗的肉体,1,1,电影请求,HTTP 400,2026-07-22T17:47:23+08:00
36399203,野孩子,1,1,电影请求,HTTP 400,2026-07-22T18:37:40+08:00
36399203,野孩子,1,2,电影请求,HTTP 400,2026-07-22T18:49:07+08:00
35128081,辐射 第一季,1,1,电影请求,HTTP 400,2026-07-22T18:59:58+08:00
35927496,潜行,1,1,电影请求,HTTP 400,2026-07-22T19:44:26+08:00
